시설물분류(대),시설물분류(중),시설물분류(소),공종분류(대),공종분류(중),위험발생객체분류(대),위험발생객체분류(중),위험발생위치분류(대),위험발생위치코드(중),위험발생위치분류(중),위험발생위치분류(소),작업프로세스명,물적피해,인적피해,사고원인,사고가능성,사고심각성,설계단계,시공단계
건축,건축물,근린생활시설,건축,철근콘크리트공사,가시설,시스템동바리,내부,15,시스템동바리,상부(위),타설작업,붕괴,깔림,구조검토 미실시,H(4),H(4),구조검토서에 의한 시스템동바리 설치,시스템 동바리 일반사항 지침 준수
건축,건축물,근린생활시설,건축,가설공사,가시설,비계,외벽,10,비계,고소,조립작업,붕괴,떨어짐(10미터 이상),조립불량,H(4),H(4),시스템비계 설치 작업도를 작성하여 시공 시 무너짐 및 작업자 추락 방지,시스템 비계 안전작업 지침 준수
건축,건축물,근린생활시설,건축,가설공사,가시설,기타 가시설,내부,114,기타 가시설,고소,마감작업,붕괴,떨어짐(3미터 이상 ~ 5미터 미만),조립상세도  미작성,M(3),M(3),이동식비계 조립상세도 작성 및 설치기준 준수,이동식 틀비계 고정스토퍼 설치
건축,건축물,근린생활시설,건축,철근콘크리트공사,가시설,거푸집,내부,2,거푸집,상부(위),타설작업,붕괴,깔림,구조검토 미실시,L(2),H(4),벽체거푸집 구조검토 및 설치도면 작성,거푸집 측압 지지용 플랫타이 설치
건축,건축물,근린생활시설,건축,철골공사,건설자재,데크플레이트,내부,28,데크플레이트,상부(위),타설작업,붕괴,떨어짐(분류불능),상세계획 미수립,L(2),H(4),접합부 상세계획 수립,데크플레이트 공법 안전보건작업 지침 준수
건축,건축물,근린생활시설,건축,조경공사,시설물,돌담,인접주변,62,돌담,옆,쌓기작업,붕괴,깔림,상세도 미작성,M(3),M(3),자연석 쌓기 상세도 작성,조경공사(수목식재작업) 안전보건작업지침 준수
건축,건축물,근린생활시설,건축,철골공사,부재,철골부재,내부,14,철골부재,상부(위),조립작업,없음,떨어짐(분류불능),추락방지 미조치,H(4),H(4),철골부재에 안전대 부착설비 설치,안전대 사용에 관한 기술지침 준수
건축,건축물,근린생활시설,건축,철근콘크리트공사,건설기계,기중기(이동식크레인 등),외부,202,기중기(이동식크레인 등),고소,양중작업,전도,깔림,아웃트리거설치 미흡,M(3),H(4),공사 중 아웃트리거 설치상태 확인,이동식크레인 양중작업의 안전성 검토 기술지원규정 준수
건축,건축물,교육연구시설,건축,가설공사,가시설,비계,외부,10,비계,상부(위),설치작업,붕괴,떨어짐(10미터 이상),무너짐_시스템비계 안전성 미검토 및 조립도 미작성,H(3),H(4),시스템비계 안전성검토 및 조립도 작성,시스템비계 벽이음 상세도 작성
건축,건축물,교육연구시설,건축,가설공사,가시설,낙하물방지망,외부,36,낙하물방지망,상부(위),설치작업,붕괴,떨어짐(10미터 이상),무너짐_낙하물방지망 설치도면 미작성,H(3),H(4),낙하물방지망 설치도면작성,주출입구 및 안전통로 상부 방호선반 설치도면 작성
건축,건축물,교육연구시설,건축,가설공사,건설기계,특수건설기계,외부,239,특수건설기계,바닥,양중작업,전도,깔림,넘어짐_이동식크레인 안전성 미검토 및 받침목 미설치,M(2),H(4),이동식크레인 안전성 검토 및 받침목 설치,이동식크레인 인양능력 및 줄걸이 안전성 검토
